Filename: D:\_RESEARCH\_datasets\GudalurSTD\Data_in_brief_dataset\DATA\AIRBORNE\AVNG_PROCESSED\AVNG_REFL
ROI: Region #1 [Green] 4 points

Basic Stats	  Min	  Max	       Mean	     Stdev
    Band 88	 4950	 5789	5447.000000	360.678065
    Band 89	 4950	 5702	5392.250000	321.731125
    Band 90	 4894	 5721	5380.750000	357.318136
    Band 91	 4924	 5736	5402.750000	352.262568
    Band 92	 4917	 5766	5416.500000	367.496485
    Band 93	 4904	 5743	5405.000000	363.847037
    Band 94	 4954	 5746	5436.500000	343.476831
    Band 95	 4947	 5791	5440.000000	363.106963
    Band 96	 4957	 5766	5439.500000	347.275587
    Band 97	 4989	 5831	5482.250000	360.080894
    Band 98	 4956	 5860	5490.250000	389.815662
    Band 99	 4964	 5853	5490.250000	384.865669
   Band 100	 4962	 5821	5472.250000	371.587024
   Band 101	 4957	 5825	5470.750000	376.503541
   Band 102	 4916	 5779	5428.750000	370.990903
   Band 103	 4876	 5780	5410.250000	389.475181
   Band 104	 4859	 5723	5372.250000	370.575566
   Band 105	 4899	 5802	5429.250000	387.216025
   Band 106	 4859	 5673	5352.500000	353.713161
   Band 107	 4824	 5720	5364.500000	387.780436
   Band 108	 4924	 5847	5466.500000	401.751582
   Band 109	 4939	 5799	5456.500000	373.150104
   Band 110	 4885	 5798	5421.250000	393.571997
   Band 111	 4941	 6004	5549.750000	454.461861
   Band 112	 5023	 5763	5459.000000	311.954056
   Band 113	 5026	 5690	5437.000000	288.686681
   Band 114	 4967	 5765	5452.000000	348.077578
   Band 115	 4987	 5777	5438.500000	337.696609
   Band 116	 5006	 5844	5509.750000	368.328092
   Band 117	 4922	 5697	5387.500000	339.042279
   Band 118	 4925	 5773	5421.750000	367.090702
   Band 119	 4889	 5738	5392.000000	370.051348
   Band 120	 4915	 5803	5438.000000	386.246036
   Band 121	 4979	 5830	5481.000000	369.454553
   Band 122	 5033	 5866	5535.000000	366.454181
   Band 123	 5080	 5926	5587.000000	371.241162
   Band 124	 5196	 5953	5662.000000	329.643242
   Band 125	 5189	 6018	5684.750000	363.961880
   Band 126	 5262	 6018	5723.750000	330.206375
   Band 127	 5265	 6061	5742.000000	351.008072
   Band 128	 5295	 6154	5806.000000	379.101570
   Band 129	 5335	 6133	5807.500000	348.854793
   Band 130	 5321	 6143	5810.250000	361.864961
   Band 131	 5368	 6169	5843.000000	351.257740
   Band 132	 5392	 6190	5857.500000	348.300158
   Band 133	 5438	 6231	5900.250000	348.317264
   Band 134	 5466	 6230	5918.500000	333.556092
   Band 135	 5504	 6260	5952.750000	331.328010
   Band 136	 5515	 6294	5967.250000	340.107213
   Band 137	 5500	 6261	5953.750000	337.283634
   Band 138	 5542	 6268	5970.250000	316.006725
   Band 139	 5598	 6298	6009.500000	305.794593
   Band 140	 5613	 6319	6026.500000	311.826341
   Band 141	 5629	 6306	6030.750000	297.079535
   Band 142	 5626	 6303	6027.250000	298.075354
   Band 143	 5616	 6290	6014.000000	297.164377
   Band 144	 5605	 6255	5986.750000	286.831396
   Band 145	 5666	 6310	6038.250000	284.213975
   Band 146	 5744	 6344	6093.750000	262.922517
   Band 147	 5777	 6358	6112.500000	250.520126
   Band 148	 5786	 6453	6154.250000	287.097399
   Band 149	 5780	 6237	6035.750000	190.391483
   Band 150	 5636	 6112	5875.000000	194.537057
   Band 151	 5553	 5951	5804.750000	177.805840
   Band 152	 5656	 6061	5888.750000	170.218242
   Band 153	 5706	 6158	5942.250000	197.936648
   Band 154	 5779	 6230	6020.500000	186.122719
   Band 155	 5760	 6061	5937.500000	130.231845
   Band 156	 5685	 6160	5941.000000	204.598794
   Band 157	 5695	 6070	5914.000000	167.552977
   Band 158	 5723	 6079	5924.250000	153.008442
   Band 159	 5814	 6179	6010.750000	158.232687
   Band 160	 5850	 6247	6060.750000	168.139575
   Band 161	 5931	 6320	6138.000000	173.106903
   Band 162	 6055	 6373	6229.250000	136.865810
   Band 163	 6167	 6425	6310.000000	107.570132
   Band 164	 6182	 6498	6352.500000	134.691004
   Band 165	 6272	 6582	6438.000000	133.835720
   Band 166	 6346	 6646	6505.000000	130.861250
   Band 167	 6401	 6698	6562.000000	126.504282
   Band 168	 6503	 6766	6637.500000	110.654116
   Band 169	 6523	 6837	6683.750000	138.041962
   Band 170	 6603	 6880	6744.250000	119.725728
   Band 171	 6634	 6933	6786.750000	129.293916
   Band 172	 6697	 6957	6827.000000	108.753544
   Band 173	 6773	 7045	6913.750000	113.933826
   Band 174	 6847	 7061	6947.750000	 89.567014
   Band 175	 6939	 7167	7056.000000	 95.718337
   Band 176	 6959	 7239	7093.250000	118.738859
   Band 177	 7003	 7282	7135.250000	123.952612
   Band 178	 7038	 7261	7141.750000	 94.700845
   Band 179	 7051	 7270	7149.750000	 90.984889
   Band 180	 7079	 7253	7160.000000	 73.038802
   Band 181	 7081	 7248	7161.250000	 71.036962
   Band 182	 7065	 7240	7151.000000	 73.787985
   Band 183	 7027	 7225	7116.750000	 82.641293
   Band 184	 6994	 7190	7084.750000	 82.903056
   Band 185	 6937	 7145	7035.500000	 87.565214
   Band 186	 7085	 7218	7139.500000	 57.830211
   Band 187	 6957	 7217	7077.250000	111.505979
   Band 188	 7002	 7212	7089.500000	 89.437129
   Band 189	 7043	 7241	7126.000000	 86.460010
   Band 190	 7246	 7417	7326.500000	 70.107061
   Band 191	 7422	 7672	7525.500000	106.703639
   Band 192	 7551	 7736	7634.250000	 78.005876
   Band 193	 7664	 7810	7728.000000	 60.553007
   Band 194	 7857	 8205	8009.500000	153.398175
   Band 195	 7303	 7539	7401.250000	103.635177
   Band 196	 7251	 7287	7268.750000	 14.705441
   Band 197	 7339	 7480	7386.500000	 63.689350
   Band 198	 7322	 7469	7366.000000	 69.354164
   Band 199	 7503	 7895	7680.750000	181.446732
   Band 200	 7133	 7472	7290.750000	156.525557
   Band 201	 7470	 7665	7544.250000	 86.268476
   Band 202	 7283	 7405	7323.250000	 55.524019
   Band 203	 7088	 7165	7112.250000	 36.234192
   Band 204	 7102	 7177	7125.750000	 34.577208
   Band 205	 6979	 7064	7007.000000	 39.656862
   Band 206	 6802	 6935	6851.250000	 60.096450
   Band 207	 6814	 6913	6846.250000	 45.529295
   Band 208	 6829	 6972	6881.750000	 65.275697
   Band 209	 6888	 7005	6928.750000	 54.242511
   Band 210	 6916	 7017	6945.500000	 48.045118
   Band 211	 6908	 7051	6960.500000	 64.169048
   Band 212	 6967	 7058	6998.000000	 41.480919
   Band 213	 6948	 7050	6982.500000	 45.909331
   Band 214	 6974	 7067	7003.000000	 43.443450
   Band 215	 6985	 7075	7013.250000	 41.764219
   Band 216	 6984	 7098	7020.000000	 52.706736
   Band 217	 7022	 7109	7053.500000	 38.231749
   Band 218	 6971	 7068	7021.500000	 39.719852
   Band 219	 6998	 7096	7025.250000	 47.380552
   Band 220	 6967	 7059	7000.500000	 40.763546
   Band 221	 6954	 7072	6995.500000	 53.150729
   Band 222	 6948	 7083	6998.000000	 61.040970
   Band 223	 6979	 7097	7020.250000	 53.860158
   Band 224	 6959	 7114	7018.500000	 67.796263
   Band 225	 6990	 7089	7018.250000	 47.281956
   Band 226	 6973	 7067	7005.250000	 42.002976
   Band 227	 6976	 7086	7007.750000	 52.588814
   Band 228	 6917	 7009	6950.250000	 40.803390
   Band 229	 6956	 7063	6998.500000	 45.581429
   Band 230	 6929	 7030	6962.750000	 46.009963
   Band 231	 6897	 6966	6930.500000	 32.787193
   Band 232	 6800	 6898	6856.250000	 48.293374
   Band 233	 6676	 6796	6728.000000	 51.974353
   Band 234	 6489	 6703	6572.500000	 91.660606
   Band 235	 6289	 6538	6355.000000	122.166553
   Band 236	 5983	 6402	6118.750000	194.134618
   Band 237	 5755	 6300	5936.750000	249.574805
   Band 238	 5814	 6348	5991.000000	244.410856
   Band 239	 6070	 6499	6213.750000	197.028551
   Band 240	 6185	 6545	6302.250000	167.326776
   Band 241	 6330	 6576	6404.000000	115.316955
   Band 242	 6419	 6634	6482.250000	102.115539
   Band 243	 6516	 6739	6597.000000	 98.146150
   Band 244	 6619	 6736	6658.000000	 53.372902
   Band 245	 6540	 6677	6588.500000	 63.005291
   Band 246	 6470	 6631	6523.750000	 74.096221
   Band 247	 6448	 6610	6502.750000	 75.034992
   Band 248	 6446	 6595	6499.000000	 65.914085
   Band 249	 6424	 6604	6488.500000	 79.584337
   Band 250	 6460	 6615	6532.750000	 65.789437
   Band 251	 6463	 6599	6506.750000	 63.803736
   Band 252	 6470	 6606	6516.250000	 62.983463
   Band 253	 6521	 6654	6564.500000	 62.110117
   Band 254	 6534	 6625	6575.500000	 47.346242
   Band 255	 6524	 6616	6565.750000	 44.033131
   Band 256	 6513	 6617	6570.500000	 45.647198
   Band 257	 6542	 6623	6582.750000	 35.864328
   Band 258	 6568	 6672	6615.250000	 44.642095
   Band 259	 6613	 6698	6658.750000	 41.282563
   Band 260	 6749	 6839	6793.750000	 41.451779
   Band 261	 6959	 7054	6999.000000	 40.091562
   Band 262	 7032	 7118	7070.500000	 36.418860
   Band 263	 7092	 7149	7117.250000	 23.796008
   Band 264	 7405	 7499	7460.000000	 40.873789
   Band 265	 7481	 7638	7545.500000	 75.039989
   Band 266	 6496	 6685	6600.250000	 77.975958
   Band 267	 6376	 6463	6417.250000	 36.206583
   Band 268	 6261	 6571	6415.750000	139.717274
   Band 269	 6329	 6585	6459.750000	123.939165
   Band 270	 6302	 6413	6346.250000	 47.317192
   Band 271	 6285	 6418	6347.500000	 55.596762
   Band 272	 6204	 6379	6290.250000	 74.544729
   Band 273	 6120	 6300	6204.000000	 79.448096
   Band 274	 6320	 6390	6340.750000	 32.998737
   Band 275	 6192	 6313	6251.000000	 51.929439
   Band 276	 6131	 6271	6198.750000	 66.914747
   Band 277	 6247	 6349	6287.250000	 45.036097
   Band 278	 6180	 6379	6266.000000	100.316167
   Band 279	 6291	 6376	6337.000000	 35.223098
   Band 280	 6387	 6539	6447.000000	 66.050486
   Band 281	 6461	 6613	6535.750000	 63.693930
   Band 282	 6551	 6699	6621.250000	 65.809700
   Band 283	 6604	 6715	6645.250000	 48.383020
   Band 284	 6669	 6794	6718.250000	 53.674171
   Band 285	 6704	 6814	6740.500000	 50.533817
   Band 286	 6677	 6836	6738.500000	 68.364221
   Band 287	 6656	 6766	6698.000000	 47.798187
   Band 288	 6573	 6670	6620.750000	 41.226003
   Band 289	 6462	 6553	6512.250000	 39.254511
   Band 290	 6287	 6370	6327.750000	 39.994791
   Band 291	 6234	 6328	6279.000000	 46.946778
   Band 292	 6202	 6278	6243.250000	 37.106828
   Band 293	 6117	 6198	6151.250000	 34.003676
   Band 294	 6044	 6145	6093.250000	 43.277207
   Band 295	 5970	 6042	6007.500000	 33.281627
   Band 296	 5797	 5876	5844.750000	 36.700363
   Band 297	 5595	 5744	5646.000000	 66.638327
   Band 298	 5439	 5664	5507.750000	105.088455
   Band 299	 5312	 5597	5401.000000	133.369162
   Band 300	 5053	 5402	5164.250000	160.514537
   Band 301	 4997	 5332	5106.000000	152.549446
   Band 302	 5228	 5401	5282.250000	 79.909845
   Band 303	 5268	 5360	5305.500000	 40.245083
   Band 304	 5141	 5221	5173.750000	 35.733971
   Band 305	 4871	 4926	4899.500000	 27.086282
   Band 306	 4811	 4865	4826.750000	 25.617377
   Band 307	 4904	 5127	5023.250000	 95.136306
   Band 308	 4959	 5220	5092.750000	111.041659
   Band 309	 4949	 5191	5067.250000	 99.372615
   Band 310	 4886	 5039	4956.750000	 66.570138
   Band 311	 4897	 5050	4965.750000	 64.978843
   Band 312	 4869	 5170	5026.000000	125.769631
   Band 313	 4845	 5228	5046.250000	157.307290
   Band 314	 4745	 5205	4990.000000	192.788312
   Band 315	 4580	 5117	4884.750000	224.909426
   Band 316	 4427	 5021	4756.250000	247.452857
   Band 317	 4637	 5084	4877.500000	188.857089
   Band 318	 4833	 5057	4937.500000	 93.443387
   Band 319	 4828	 4898	4861.750000	 31.983068
   Band 320	 4699	 4829	4741.500000	 59.112886
   Band 321	 4505	 4719	4568.500000	101.105555
   Band 322	 4135	 4513	4273.500000	168.169557
   Band 323	 3960	 4462	4134.750000	224.263796
   Band 324	 3876	 4476	4103.250000	262.888284
   Band 325	 3820	 4465	4066.500000	280.255241
   Band 326	 3929	 4540	4157.750000	266.722546
   Band 327	 4146	 4625	4309.500000	216.401633
   Band 328	 4150	 4586	4309.500000	191.849768
   Band 329	 4192	 4585	4336.500000	173.882144
   Band 330	 4274	 4555	4360.000000	131.125894
   Band 331	 4312	 4540	4376.750000	109.353784
   Band 332	 4274	 4508	4335.250000	115.202358
   Band 333	 4216	 4466	4294.500000	115.465724
   Band 334	 4119	 4387	4206.500000	122.268829
   Band 335	 4043	 4323	4132.250000	129.159785
   Band 336	 4028	 4263	4103.750000	108.161530
   Band 337	 3987	 4197	4052.250000	 97.246679
   Band 338	 3867	 4098	3937.750000	108.139956
   Band 339	 3679	 3995	3784.500000	143.771810
   Band 340	 3569	 3889	3679.250000	145.309727
   Band 341	 3593	 3904	3695.500000	142.988345
   Band 342	 3676	 3938	3763.500000	118.573465
   Band 343	 3681	 3887	3748.750000	 93.631814
   Band 344	 3719	 3889	3766.750000	 82.017783
   Band 345	 3589	 3761	3643.750000	 78.974152
   Band 346	 3515	 3717	3582.500000	 93.003584
   Band 347	 3512	 3663	3556.500000	 71.285810
   Band 348	 3560	 3695	3603.500000	 61.916611
   Band 349	 3589	 3668	3623.250000	 39.084311
   Band 350	 3664	 3732	3689.500000	 30.555960
   Band 351	 3661	 3715	3682.500000	 24.351591
   Band 352	 3468	 3551	3498.000000	 38.807216
   Band 353	 3470	 3559	3506.750000	 43.022281
   Band 354	 3558	 3614	3592.250000	 26.386550
   Band 355	 3680	 3717	3697.500000	 16.663333
   Band 356	 3649	 3727	3699.250000	 36.371921
   Band 357	 3772	 3879	3840.000000	 47.081490
   Band 358	 3549	 3645	3583.500000	 43.493295
   Band 359	 3435	 3478	3450.250000	 19.602296
   Band 360	 3426	 3510	3452.750000	 38.810437
   Band 361	 3347	 3462	3401.000000	 50.006666
   Band 362	 2918	 3186	3018.250000	117.995410
   Band 363	 2910	 3187	3037.500000	116.848905
   Band 364	 3308	 3554	3398.000000	110.172592
   Band 365	 3352	 3491	3396.250000	 65.469459
   Band 366	 3324	 3352	3336.000000	 13.784049
   Band 367	 3438	 3591	3511.750000	 78.449028
   Band 368	 3628	 3778	3692.750000	 68.436710
   Band 369	 3596	 3714	3627.250000	 57.892861
   Band 370	 3573	 3916	3747.250000	162.126237

Histogram  	   DN	   Npts	  Total	 Percent	 Acc Pct
Band 1     	 1208	      1	      1	 25.0000	 25.0000
Bin=4      	 1212	      0	      1	  0.0000	 25.0000
           	 1216	      0	      1	  0.0000	 25.0000
           	 1220	      0	      1	  0.0000	 25.0000
           	 1224	      0	      1	  0.0000	 25.0000
           	 1228	      0	      1	  0.0000	 25.0000
           	 1232	      0	      1	  0.0000	 25.0000
           	 1236	      0	      1	  0.0000	 25.0000
           	 1240	      0	      1	  0.0000	 25.0000
           	 1244	      0	      1	  0.0000	 25.0000
           	 1248	      0	      1	  0.0000	 25.0000
           	 1252	      0	      1	  0.0000	 25.0000
           	 1256	      0	      1	  0.0000	 25.0000
           	 1260	      0	      1	  0.0000	 25.0000
           	 1264	      0	      1	  0.0000	 25.0000
           	 1268	      0	      1	  0.0000	 25.0000
           	 1272	      0	      1	  0.0000	 25.0000
           	 1276	      0	      1	  0.0000	 25.0000
           	 1280	      0	      1	  0.0000	 25.0000
           	 1284	      0	      1	  0.0000	 25.0000
           	 1288	      0	      1	  0.0000	 25.0000
           	 1292	      0	      1	  0.0000	 25.0000
           	 1296	      0	      1	  0.0000	 25.0000
           	 1300	      0	      1	  0.0000	 25.0000
           	 1304	      0	      1	  0.0000	 25.0000
           	 1308	      0	      1	  0.0000	 25.0000
           	 1312	      0	      1	  0.0000	 25.0000
           	 1316	      0	      1	  0.0000	 25.0000
           	 1320	      0	      1	  0.0000	 25.0000
           	 1324	      0	      1	  0.0000	 25.0000
           	 1328	      0	      1	  0.0000	 25.0000
           	 1332	      0	      1	  0.0000	 25.0000
           	 1336	      0	      1	  0.0000	 25.0000
           	 1340	      0	      1	  0.0000	 25.0000
           	 1344	      0	      1	  0.0000	 25.0000
           	 1348	      0	      1	  0.0000	 25.0000
           	 1352	      0	      1	  0.0000	 25.0000
           	 1356	      0	      1	  0.0000	 25.0000
           	 1360	      0	      1	  0.0000	 25.0000
           	 1364	      0	      1	  0.0000	 25.0000
           	 1368	      0	      1	  0.0000	 25.0000
           	 1372	      0	      1	  0.0000	 25.0000
           	 1376	      0	      1	  0.0000	 25.0000
           	 1380	      0	      1	  0.0000	 25.0000
           	 1384	      1	      2	 25.0000	 50.0000
           	 1388	      0	      2	  0.0000	 50.0000
           	 1392	      0	      2	  0.0000	 50.0000
           	 1396	      0	      2	  0.0000	 50.0000
           	 1400	      0	      2	  0.0000	 50.0000
           	 1404	      0	      2	  0.0000	 50.0000
           	 1408	      0	      2	  0.0000	 50.0000
           	 1412	      0	      2	  0.0000	 50.0000
           	 1416	      0	      2	  0.0000	 50.0000
           	 1420	      0	      2	  0.0000	 50.0000
           	 1424	      0	      2	  0.0000	 50.0000
           	 1428	      0	      2	  0.0000	 50.0000
           	 1432	      0	      2	  0.0000	 50.0000
           	 1436	      0	      2	  0.0000	 50.0000
           	 1440	      0	      2	  0.0000	 50.0000
           	 1444	      0	      2	  0.0000	 50.0000
           	 1448	      0	      2	  0.0000	 50.0000
           	 1452	      0	      2	  0.0000	 50.0000
           	 1456	      0	      2	  0.0000	 50.0000
           	 1460	      0	      2	  0.0000	 50.0000
           	 1464	      0	      2	  0.0000	 50.0000
           	 1468	      0	      2	  0.0000	 50.0000
           	 1472	      0	      2	  0.0000	 50.0000
           	 1476	      0	      2	  0.0000	 50.0000
           	 1480	      0	      2	  0.0000	 50.0000
           	 1484	      0	      2	  0.0000	 50.0000
           	 1488	      0	      2	  0.0000	 50.0000
           	 1492	      0	      2	  0.0000	 50.0000
           	 1496	      0	      2	  0.0000	 50.0000
           	 1500	      0	      2	  0.0000	 50.0000
           	 1504	      0	      2	  0.0000	 50.0000
           	 1508	      0	      2	  0.0000	 50.0000
           	 1512	      0	      2	  0.0000	 50.0000
           	 1516	      0	      2	  0.0000	 50.0000
           	 1520	      0	      2	  0.0000	 50.0000
           	 1524	      0	      2	  0.0000	 50.0000
           	 1528	      0	      2	  0.0000	 50.0000
           	 1532	      0	      2	  0.0000	 50.0000
           	 1536	      0	      2	  0.0000	 50.0000
           	 1540	      0	      2	  0.0000	 50.0000
           	 1544	      0	      2	  0.0000	 50.0000
           	 1548	      0	      2	  0.0000	 50.0000
           	 1552	      0	      2	  0.0000	 50.0000
           	 1556	      0	      2	  0.0000	 50.0000
           	 1560	      0	      2	  0.0000	 50.0000
           	 1564	      0	      2	  0.0000	 50.0000
           	 1568	      0	      2	  0.0000	 50.0000
           	 1572	      0	      2	  0.0000	 50.0000
           	 1576	      0	      2	  0.0000	 50.0000
           	 1580	      0	      2	  0.0000	 50.0000
           	 1584	      0	      2	  0.0000	 50.0000
           	 1588	      0	      2	  0.0000	 50.0000
           	 1592	      0	      2	  0.0000	 50.0000
           	 1596	      0	      2	  0.0000	 50.0000
           	 1600	      0	      2	  0.0000	 50.0000
           	 1604	      0	      2	  0.0000	 50.0000
           	 1608	      0	      2	  0.0000	 50.0000
           	 1612	      0	      2	  0.0000	 50.0000
           	 1616	      0	      2	  0.0000	 50.0000
           	 1620	      0	      2	  0.0000	 50.0000
           	 1624	      0	      2	  0.0000	 50.0000
           	 1628	      0	      2	  0.0000	 50.0000
           	 1632	      0	      2	  0.0000	 50.0000
           	 1636	      0	      2	  0.0000	 50.0000
           	 1640	      0	      2	  0.0000	 50.0000
           	 1644	      0	      2	  0.0000	 50.0000
           	 1648	      0	      2	  0.0000	 50.0000
           	 1652	      0	      2	  0.0000	 50.0000
           	 1656	      0	      2	  0.0000	 50.0000
           	 1660	      0	      2	  0.0000	 50.0000
           	 1664	      0	      2	  0.0000	 50.0000
           	 1668	      0	      2	  0.0000	 50.0000
           	 1672	      0	      2	  0.0000	 50.0000
           	 1676	      0	      2	  0.0000	 50.0000
           	 1680	      0	      2	  0.0000	 50.0000
           	 1684	      0	      2	  0.0000	 50.0000
           	 1688	      0	      2	  0.0000	 50.0000
           	 1692	      0	      2	  0.0000	 50.0000
           	 1696	      0	      2	  0.0000	 50.0000
           	 1700	      0	      2	  0.0000	 50.0000
           	 1704	      0	      2	  0.0000	 50.0000
           	 1708	      0	      2	  0.0000	 50.0000
           	 1712	      0	      2	  0.0000	 50.0000
           	 1716	      0	      2	  0.0000	 50.0000
           	 1720	      0	      2	  0.0000	 50.0000
           	 1724	      0	      2	  0.0000	 50.0000
           	 1728	      0	      2	  0.0000	 50.0000
           	 1732	      0	      2	  0.0000	 50.0000
           	 1736	      0	      2	  0.0000	 50.0000
           	 1740	      0	      2	  0.0000	 50.0000
           	 1744	      0	      2	  0.0000	 50.0000
           	 1748	      0	      2	  0.0000	 50.0000
           	 1752	      0	      2	  0.0000	 50.0000
           	 1756	      0	      2	  0.0000	 50.0000
           	 1760	      0	      2	  0.0000	 50.0000
           	 1764	      0	      2	  0.0000	 50.0000
           	 1768	      0	      2	  0.0000	 50.0000
           	 1772	      0	      2	  0.0000	 50.0000
           	 1776	      0	      2	  0.0000	 50.0000
           	 1780	      0	      2	  0.0000	 50.0000
           	 1784	      0	      2	  0.0000	 50.0000
           	 1788	      0	      2	  0.0000	 50.0000
           	 1792	      0	      2	  0.0000	 50.0000
           	 1796	      0	      2	  0.0000	 50.0000
           	 1800	      0	      2	  0.0000	 50.0000
           	 1804	      0	      2	  0.0000	 50.0000
           	 1808	      0	      2	  0.0000	 50.0000
           	 1812	      0	      2	  0.0000	 50.0000
           	 1816	      0	      2	  0.0000	 50.0000
           	 1820	      0	      2	  0.0000	 50.0000
           	 1824	      0	      2	  0.0000	 50.0000
           	 1828	      0	      2	  0.0000	 50.0000
           	 1832	      0	      2	  0.0000	 50.0000
           	 1836	      0	      2	  0.0000	 50.0000
           	 1840	      0	      2	  0.0000	 50.0000
           	 1844	      0	      2	  0.0000	 50.0000
           	 1848	      0	      2	  0.0000	 50.0000
           	 1852	      0	      2	  0.0000	 50.0000
           	 1856	      0	      2	  0.0000	 50.0000
           	 1860	      0	      2	  0.0000	 50.0000
           	 1864	      0	      2	  0.0000	 50.0000
           	 1868	      0	      2	  0.0000	 50.0000
           	 1872	      0	      2	  0.0000	 50.0000
           	 1876	      0	      2	  0.0000	 50.0000
           	 1880	      0	      2	  0.0000	 50.0000
           	 1884	      0	      2	  0.0000	 50.0000
           	 1888	      0	      2	  0.0000	 50.0000
           	 1892	      1	      3	 25.0000	 75.0000
           	 1896	      0	      3	  0.0000	 75.0000
           	 1900	      0	      3	  0.0000	 75.0000
           	 1904	      0	      3	  0.0000	 75.0000
           	 1908	      0	      3	  0.0000	 75.0000
           	 1912	      0	      3	  0.0000	 75.0000
           	 1916	      0	      3	  0.0000	 75.0000
           	 1920	      0	      3	  0.0000	 75.0000
           	 1924	      0	      3	  0.0000	 75.0000
